"No.","Ticker","Company","Sector","Industry","Market Cap","EPS Surprise","Short Interest","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (Week)","Performance (Month)","Change from Open","Volume","Price","Change"
11,"UCTT","Ultra Clean Hldgs Inc","Technology","Semiconductor Equipment & Materials",3279.42,31.88%,3.16,0.00%,0.97%,0.97%,4.25%,-12.88%,5.74%,1466289,72.43,8.77%
12,"MRVL","Marvell Technology Inc","Technology","Semiconductors",196031.00,0.69%,28.39,0.14%,0.14%,0.07%,3.20%,6.18%,5.62%,21218082,223.55,7.05%
13,"FIVE","Five Below Inc","Consumer Cyclical","Specialty Retail",13884.63,19.82%,1.73,0.00%,-0.24%,-0.39%,4.26%,9.12%,5.58%,1907674,252.20,5.10%
14,"TSEM","Tower Semiconductor Ltd","Technology","Semiconductors",25084.93,16.09%,2.50,0.04%,-0.04%,0.16%,6.89%,-1.05%,5.55%,1725294,222.34,7.85%
15,"CEG","Constellation Energy Corp","Utilities","Utilities - Independent Power Producers",105923.73,11.23%,9.41,0.09%,0.10%,0.01%,8.03%,14.50%,5.25%,2898472,298.96,4.88%
16,"XPO","XPO Inc","Industrials","Trucking",22609.40,15.12%,6.02,0.00%,0.00%,-0.05%,2.41%,-1.66%,5.13%,1380472,193.10,4.49%
17,"VSAT","Viasat Inc","Technology","Communication Equipment",10375.77,-19.84%,11.21,0.13%,-0.23%,0.02%,11.80%,-8.14%,4.99%,1555019,75.32,5.02%
18,"BETA","BETA Technologies Inc","Industrials","Aerospace & Defense",5193.49,-16.43%,8.56,0.49%,-0.36%,-0.36%,10.12%,-2.29%,4.96%,2820823,22.20,6.68%
19,"SHOO","Steven Madden Ltd","Consumer Cyclical","Footwear & Accessories",3196.38,37.07%,3.41,0.00%,0.00%,0.00%,-1.27%,-9.49%,4.92%,1108858,43.68,3.26%
20,"TREX","TREX Co Inc","Industrials","Building Products & Equipment",4648.11,-2.13%,10.16,0.81%,0.81%,0.81%,-0.31%,-5.78%,4.85%,957177,45.63,4.44%
21,"MU","Micron Technology Inc","Technology","Semiconductors",1148129.73,20.36%,30.02,0.13%,0.15%,0.12%,8.98%,15.33%,4.66%,35249519,1016.59,6.10%
22,"COHR","Coherent Corp","Technology","Scientific & Technical Instruments",55197.27,7.61%,10.03,0.07%,0.11%,-0.07%,0.95%,-15.67%,4.51%,5043680,281.86,6.60%
23,"ACMR","ACM Research Inc","Technology","Semiconductor Equipment & Materials",5184.69,45.72%,3.29,0.00%,0.00%,0.00%,0.03%,-5.75%,4.48%,643525,74.44,7.23%
24,"KLAC","KLA Corp","Technology","Semiconductor Equipment & Materials",242495.09,4.51%,25.34,-0.01%,0.01%,0.02%,5.73%,-3.94%,4.33%,12725635,185.60,7.32%
25,"WERN","Werner Enterprises Inc","Industrials","Trucking",2401.49,-6.94%,4.07,0.00%,0.00%,0.00%,4.22%,8.60%,4.33%,584625,40.04,4.00%
26,"FORM","FormFactor Inc","Technology","Semiconductor Equipment & Materials",8116.74,34.54%,2.72,-0.20%,-0.87%,-0.87%,2.17%,-9.82%,4.28%,1100435,103.90,7.38%
27,"MXL","MaxLinear Inc","Technology","Semiconductors",5690.09,6.29%,4.31,0.00%,0.14%,0.36%,1.64%,-10.63%,4.19%,1726788,62.74,5.53%
28,"VECO","Veeco Instruments Inc","Technology","Semiconductor Equipment & Materials",2730.66,28.01%,5.91,0.00%,0.00%,0.00%,0.85%,-13.45%,4.17%,401991,44.67,4.98%
29,"SWKS","Skyworks Solutions Inc","Technology","Semiconductors",11137.99,4.90%,29.79,0.00%,0.00%,0.00%,12.51%,10.74%,4.12%,4805405,74.02,3.52%
30,"MSTR","Strategy Inc","Technology","Software - Application",54867.40,-1017.00%,31.88,0.02%,-0.11%,0.14%,12.17%,47.44%,3.97%,27162650,142.80,-1.39%
